Movie Name,Actor Name
The Fifth Estate,Peter Capaldi
Micmacs,Dany Boon
Micmacs,Andre Dussollier
Micmacs,Nicolas Marie
Micmacs,Jean-Pierre Marielle
Micmacs,Yolande Moreau
Rent,Rosario Dawson
Rent,Taye Diggs
Rent,Sarah Silverman
Secrets & Lies,Marianne Jean-Baptiste
Secrets & Lies,Brenda Blethyn
Secrets & Lies,Timothy Spall
Gangs of New York,Leonardo DiCaprio
Gangs of New York,Daniel Day-Lewis
Gangs of New York,Cameron Diaz
Gangs of New York,John C. Reilly
Gangs of New York,Jim Broadbent
The Forbidden Kingdom,Jackie Chan
The Forbidden Kingdom,Jet Li
The Forbidden Kingdom,Michael Angarano
The Forbidden Kingdom,Liu Yifei
The Forbidden Kingdom,Collin Chou
C'era una volta il West,Keenan Wynn
C'era una volta il West,"Jason Robards, Jr."
C'era una volta il West,Henry Fonda
C'era una volta il West,Claudia Cardinale
C'era una volta il West,Charles Bronson
Ghost Rider: Spirit of Vengeance,Nicolas Cage
Ghost Rider: Spirit of Vengeance,Violante Placido
Ghost Rider: Spirit of Vengeance,Ciaran Hinds
Ghost Rider: Spirit of Vengeance,Idris Elba
Ghost Rider: Spirit of Vengeance,Johnny Whitworth
Romeo Is Bleeding,Gary Oldman
Romeo Is Bleeding,Will Patton
Romeo Is Bleeding,Dennis Farina
Romeo Is Bleeding,James Cromwell
Romeo Is Bleeding,Roy Scheider
The American,George Clooney
The American,Violante Placido
The American,Thekla Reuten
The American,Paolo Bonacelli
The American,Johan Leysen
The Adventures of Huck Finn,Elijah Wood
The Adventures of Huck Finn,Anne Heche
The Adventures of Huck Finn,Courtney B. Vance
The Adventures of Huck Finn,"Jason Robards, Jr."
The Adventures of Huck Finn,Ron Perlman
Hav Plenty,Nia Long
Hav Plenty,Hill Harper
Hav Plenty,Mekhi Phifer
The Verdict,Paul Newman
The Verdict,Bruce Willis
The Verdict,Jack Warden
The Verdict,James Mason
The Verdict,Charlotte Rampling
Seven Pounds,Will Smith
Seven Pounds,Rosario Dawson
Seven Pounds,Woody Harrelson
Seven Pounds,Michael Ealy
Seven Pounds,Barry Pepper
The Mist,Thomas Jane
The Mist,Marcia Gay Harden
The Mist,Andre Braugher
The Mist,Laurie Holden
